animeTitle	Obake no Q-tarou
animeType	TV
animeNumEpisode	96
releaseDate	1965-08-29 00:00:00
endDate	1967-06-28 00:00:00
animeNumMembers	
animeScore	6.11
animeUsers	115
animeRank	
animePopularity	12269
animeDescription	"Q-taro, a monster, is living with the Ohara family. He can fly and make his body transparent, but he cannot turn his body into other things like other monsters do. He is a scattered mind, and he always makes mistakes and causes trouble.

(Source: AnimeNfo)"
animeRelated	['Obake no Q-tarou', 'Shin Obake no Q-tarou']
animeCharacters	['Q-Tarou', 'Ouhara, Shouta', 'U-ko', 'P-ko', 'Ouhara, Shinichi']
animeVoices	['Soga, Machiko', 'Tagami, Kazue', 'Nozawa, Masako']
animeStaff	[['Nagahama, Tadao', 'Episode Director'], ['Oosumi, Masaaki', 'Episode Director'], ['Ishikawa, Susumu', 'Theme Song Performance'], ['Fujiko, Fujio F.', 'Original Creator']]
