animeTitle	Wan Wan Chuushingura
animeType	Movie
animeNumEpisode	1
releaseDate	1963-12-21 00:00:00
endDate	
animeNumMembers	916
animeScore	5.68
animeUsers	304
animeRank	9829
animePopularity	11365
animeDescription	"The homeless dog Rock swears to take to revenge on a tiger named Killer in the zoo, who had killed his mother. The dogs in town, troubled by the atrocities of Killer, join forces to support Rock. Changing the target of revenge to the murderer of the main character's mother made it easier for kids to empathize with the character.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Akamimi', 'Goro', 'Norainu B']
animeVoices	['Kamo, Yoshihisa', 'Satou, Hideo', 'Umino, Katsuo']
animeStaff	[['Duke Aces', 'Theme Song Performance'], ['Miyazaki, Hayao', 'In-Between Animation'], ['Mori, Takeshi', 'Recording'], ['Itou, Eiji', 'Background Art']]
