animeTitle	Yousei Land Mukashibanashi
animeType	TV
animeNumEpisode	12
releaseDate	2017-04-10 00:00:00
endDate	2017-06-26 00:00:00
animeNumMembers	686
animeScore	4.88
animeUsers	236
animeRank	11595
animePopularity	12128
animeDescription	A direct sequel to Forest Fairy Five.
animeRelated	['Forest Fairy Five']
animeCharacters	['Kamuriya, Paludosa', 'Amanita, Muscaria', 'Amanita, Virosa', 'Yamadori, Porcini B', 'Mizunara, Mai']
animeVoices	['Nakano, Aimi']
animeStaff	[]
