animeTitle	Saishuu Shiken Kujira
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.01
animeUsers	1530
animeRank	
animePopularity	7065
animeDescription	"Like snow falling in summer, like a cicada lamenting the coming of winter... In a town watched over by a whale in the sky... the extraordinary is made ordinary. Spectacles that could never be given form are instead given flesh and soul. And in their midst, the story of a miracle that comes to pass in this town of miracles incarnate... For Kuonji, this newly-discovered vision is a thing of wonder and fright – a sentiment not shared by his peers. Under its watchful gaze, Kuonji chats with and hangs out with his somewhat unusual friends. Whether it's with Nina and her striped panties, cat-loving Sacchan, the strange alien Allen or a variety of other busty, skimpily-dressed babes, Kuonji finds himself in the middle of ecchi situations galore! Welcome to the world of Final Examination Kujira.

(Source: BakaBT)

Based on a game by Circus."
animeRelated	['Saishuu Shiken Kujira', 'Saishuu Shiken Kujira Progressive']
animeCharacters	['Nagumo, Sae', 'Yumesaki, Haruka', 'Haibara, Kurumi', 'Nikage, Niina', 'Kuonji, Mutsumi', 'Kujira no Shoujo', 'Motegi, Mika', 'Kagura, Kaguya', 'Uchuujin', 'Fujiwara, Ryuunosuke']
animeVoices	['Aoki, Sayaka', 'Sato, Mikako', 'Naruse, Mia', 'Sakakibara, Yui', 'Toyonaga, Toshiyuki', 'Hyo-sei', 'Nabatame, Hitomi']
animeStaff	[['Miyazaki, Nagisa', 'Director, Series Composition'], ['eufonius', 'Theme Song Performance'], ['Takeda, Yuusuke', 'Art Director'], ['Circus', 'Original Creator']]
