animeTitle	b'Fireball Special'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	1311
animeRank	
animePopularity	
animeDescription	"b""A small special in which the show's stars, Drossel and Ged\xc3\xa4chtnis, explain a little bit about how the show is made, through interviews and behind the scenes shots."""
animeRelated	[b'Fireball']
animeCharacters	[b'von Fl\xc3\xbcgel, Drossel', b'Ged\xc3\xa4chtnis']
animeVoices	[b'\nKawasho, Miyuki\nJapanese\n', b'\nOokawa, Tooru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nArakawa, Wataru\n\nDirector\n\n']
