animeTitle	Cosmo Police Justy
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	976
animeRank	
animePopularity	9207
animeDescription	"In the future humanity is spread throughout the galaxy. In their efforts to combat criminal espers the Cosmo Police are fortunate to have Justy on their side. However the esper criminals also know this and some of them are making plans for Cosmo Policeman Justy. As their leader says ""There's only one way to kill the most powerful esper in the galaxy"".

(Source: AniDB)"
animeRelated	['Justy']
animeCharacters	['Kaizard, Justy', 'Vega, Astaris', 'Vega, Magnamam', 'Laumis', 'Jelna', 'Bolbar', 'Lector']
animeVoices	['Inoue, Kazuhiko', 'Tominaga, Miina', 'Ikemizu, Michihiro', 'Iizuka, Shouzou', 'Yokozawa, Keiko', 'Ono, Kenichi', 'Wakamoto, Norio']
animeStaff	[['Nunokawa, Yuuji', 'Producer'], ['Takahashi, Motosuke', 'Director'], ['Kamimura, Osamu', 'Episode Director'], ['Hoshiyama, Hiroyuki', 'Script']]
