animeTitle	Toshokan Sensou: Koi no Shougai
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	5180
animeRank	
animePopularity	5457
animeDescription	"An unaired episode included in the Toshokan Sensou DVD volume 3, and later on Blue-ray Box (June 8, 2012) that celebrates the airing of Toshokan Sensou Movie.

Komaki was arrested for the violation of human rights of his girl friend Marie, who had difficulty in hearing. He was kept in custody and tortured by the Media Improvement Forces. The members of the Task Forces made a desperate effort to rescue him."
animeRelated	['Toshokan Sensou']
animeCharacters	['Doujou, Atsushi', 'Kasahara, Iku', 'Komaki, Mikihisa', 'Nakazawa, Marie', 'Shibasaki, Asako', 'Tezuka, Hikaru', 'Genda, Ryuusuke']
animeVoices	['Maeno, Tomoaki', 'Inoue, Marina', 'Ishida, Akira', 'Ueda, Kana', 'Sawashiro, Miyuki', 'Suzuki, Tatsuhisa', 'Suzumori, Kanji']
animeStaff	[['Base Ball Bear', 'Theme Song Performance'], ['Nakamura, Satoru', 'Character Design'], ['Furukawa, Hisaki', 'Key Animation'], ['Adabana, Sukumo', 'Original Character Design']]
