animeTitle	The Kabocha Wine: Nita no Aijou Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12706
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['The Kabocha Wine']
animeCharacters	['Asaoka, Natsumi', 'Aoba, Shunsuke']
animeVoices	['Yokozawa, Keiko', 'Furukawa, Toshio']
animeStaff	[['Yukimuro, Shunichi', 'Screenplay'], ['Ito, Michihiro', 'Sound Effects'], ['Miura, Mitsuru', 'Original Creator']]
