animeTitle	b'Inu-Ou'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Inu-Ou is born with unique physical characteristics, and the horrified adults cover every inch of his body with garments, including a mask on his face. One day, he meets a boy named Tomona, a blind biwa player, and as Tomona plays a delicate song of tangled fate, Inu-Ou discovers an incredible ability to dance.\n\nInu-Ou and Tomona become business partners and inseparable friends, using their creative gifts to survive on the margins of society, as song after song gain them notoriety and propel them to stardom. Through the songs, Inu-Ou mesmerizes his audiences on stage, and gradually begins to transform into someone of unequaled beauty. But why is Tomona blind? Why was Inu-Ou born with unique characteristics? It is a story about the friendship of Inu-Ou and Tomona, who dance and sing to get to the truth and break each other's curse.\n\n(Source: GKIDS)"""
animeRelated	[]
animeCharacters	[b'Tomona', b'Inu-Ou']
animeVoices	[b'\nMoriyama, Mirai\nJapanese\n', b'\nAvu-chan\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuasa, Masaaki\n\nDirector\n\n', b'\nKimura, Eriko\n\nSound Director\n\n', b'\nNogi, Akiko\n\nScript\n\n', b'\nMatsumoto, Taiyou\n\nOriginal Character Design\n\n']
