animeTitle	Shuten Douji
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	823
animeRank	
animePopularity	8563
animeDescription	"As a baby Jiro was delivered to his foster parents by a massive oni, who said he would return for Jiro in 15 years. When the time comes Jiro must contend with enemy oni, dark cultists, and their minions while attempting to protect both his parents and girlfriend from their depredations. Ultimately he must embark on a journey through the past, future, and other dimensions to embrace his destiny as Shuten Doji reborn. 

(Source: ANN)"
animeRelated	['Shuten Douji']
animeCharacters	['Shutendo, Jiro', 'Shiba, Kyouko', 'Senki', 'Goki', 'Shiratori, Miyuki', 'Shiba, Ryuuichirou']
animeVoices	['Horikawa, Ryo', 'Takagi, Sanae', 'Gouri, Daisuke', 'Genda, Tesshou', 'Shimamoto, Sumi', 'Ikemizu, Michihiro']
animeStaff	[['Kawagoe, Jun', 'Episode Director'], ['Nagai, Go', 'Original Creator'], ['Campbell, Charles', 'Editing, ADR Director'], ['Motohashi, Hideyuki', 'Animation Director']]
