animeTitle	Kimi to Boku.
animeType	TV
animeNumEpisode	13
releaseDate	2011-10-04 00:00:00
endDate	2011-12-27 00:00:00
animeNumMembers	164251
animeScore	7.68
animeUsers	53810
animeRank	1111
animePopularity	1071
animeDescription	"Four childhood friends are in their second year at Homare High School: kind and cheerful Shun Matsuoka, hot-tempered Kaname Tsukahara, and the Asaba twins, gentle Yuuta and lazy Yuuki. When a dynamic transfer student, Chizuru Tachibana, joins their group, the friends get caught up in his creative yet troublesome ideas that end up bringing excitement to their everyday lives. With new encounters and experiences, they begin to learn more about each other and themselves.

[Written by MAL Rewrite]
"
animeRelated	['Kimi to Boku.', 'Kimi to Boku. 2']
animeCharacters	['Asaba, Yuuki', 'Asaba, Yuuta', 'Tachibana, Chizuru', 'Matsuoka, Shun', 'Tsukahara, Kaname', 'Satou, Masaki', 'Takahashi, Rina', 'Akira', 'Sakura, Kayo', 'Matsuoka, Fuyuki']
animeVoices	['Kimura, Ryouhei', 'Uchiyama, Kouki', 'Irino, Miyu', 'Toyonaga, Toshiyuki', 'Ono, Yuuki', 'Satou, Miyuki', 'Kayano, Ai', 'Kaji, Yuki', 'Endou, Aya', 'Okamoto, Nobuhiko']
animeStaff	[['Kanbe, Mamoru', 'Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Hirabayashi, Sawako', 'Script'], ['7!!', 'Theme Song Performance']]
