animeTitle	b'Maido! Urayasu Tekkin Kazoku'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.25
animeUsers	190
animeRank	
animePopularity	
animeDescription	b'Sequel to the Urayasu Tekkin Kazoku anime and adaptation of the manga of the same name. The series follows an energetic grade-schooler and his friends as they get into mischief.'
animeRelated	[b'Maido! Urayasu Tekkin Kazoku', b'Urayasu Tekkin Kazoku']
animeCharacters	[b'Oosawagi, Kotetsu', b'Oosawagi, Sakura', b'Oosawagi, Junko', b'Oosawagi, Daitetsu']
animeVoices	[b'\nMimori, Suzuko\nJapanese\n', b'\nKitta, Izumi\nJapanese\n', b'\nTojo, Kanako\nJapanese\n', b'\nIchijo, Kazuya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDaichi, Akitarou\n\nDirector\n\n', b'\nHamaoka, Kenji\n\nOriginal Character Design, Original Creator\n\n']
