animeTitle	Ribbon no Kishi Pilot
animeType	Special
animeNumEpisode	1
releaseDate	1966-11-28 00:00:00
endDate	
animeNumMembers	
animeScore	5.84
animeUsers	108
animeRank	
animePopularity	13188
animeDescription	Unaired pilot episode of Ribbon no Kishi.
animeRelated	['Ribbon no Kishi (1963)', 'Ribbon no Kishi']
animeCharacters	['Sapphire', 'Tink', 'Duralumin, Duke ', 'Narrator']
animeVoices	['Shiraishi, Fuyumi']
animeStaff	[['Tezuka, Osamu', 'Director, Screenplay, Original Creator']]
