animeTitle	b'Aoki Honoo'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.9
animeUsers	1374
animeRank	
animePopularity	
animeDescription	b'Ryuuichi Kaizu, intelligent, ambitious, and dedicated, but at the same time cunning and immoral young student receives present from girl Emi Naito, who comes from wealthy family.\n\nRealizing that being in relationship with her can help him reach his goals, he decides to make her his, without her even being aware she is just another woman he is using.'
animeRelated	[b'Aoki Honoo']
animeCharacters	[b'Kaizu, Ryuuichi', b'Naito, Emi', b'Kaizu, Misao', b'Sayoko', b'Subimishi, Hisayo', b'Kuroeda, Keiko', b'Naito, Fumie', b'Hotta', b'Kaizu, Father', b'Kaizu, Fujiko']
animeVoices	[b'\nHoriuchi, Kenyuu\nJapanese\n', b'\nAndou, Arisa\nJapanese\n', b'\nShou, Mayumi\nJapanese\n', b'\nSasaki, Yuko\nJapanese\n', b'\nYoshida, Miho\nJapanese\n', b'\nIkura, Kazue\nJapanese\n', b'\nYokoo, Mari\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nNishimura, Tomomichi\nJapanese\n', b'\nIchijou, Miyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshiguro, Noboru\n\nDirector, Storyboard\n\n', b'\nTahara, Yuuko\n\nArt Director\n\n', b'\nYanagisawa, Kimio\n\nOriginal Creator\n\n']
