animeTitle	Pia Carrot e Youkoso!! 2 DX
animeType	OVA
animeNumEpisode	6
releaseDate	1999-12-18 00:00:00
endDate	2000-10-25 00:00:00
animeNumMembers	
animeScore	6.26
animeUsers	852
animeRank	
animePopularity	9108
animeDescription	"Kouji wants to work part-time, so, when he saw a cute girl with the Pia Carrot uniform, he tried to get a job there. When he's on the way, he accidentally bumped Azusa, and with some misunderstanding, they literally hate each other. What is the surprise of Kouji when he finds that she also got a job in the Pia Carrot, facing her daily. But as time passes, he will discover that 'hate' is not the appropriate word to describe his feelings...

(Source: ANN)"
animeRelated	['Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari']
animeCharacters	['Hinomori, Azusa', 'Maeda, Kouji', 'Hinomori, Mina', 'Yakumo, Miki', 'Kagurazaka, Jun', 'Aoi, Minase', 'Futaba, Ryouko']
animeVoices	['Nagasaki, Minami', 'Suzumura, Kenichi', 'Oikawa, Hitomi', 'Koorogi, Satomi', 'Kodama, Satomi', 'Narahashi, Miki', 'Tsunoda, Narumi']
animeStaff	[['Kidani, Takaaki', 'Producer'], ['Kageyama, Shigenori', 'Script, Screenplay'], ['Mitsumi, Misato', 'Original Character Design'], ['Amazuyu, Tatsuki', 'Original Character Design']]
