animeTitle	Kyokou Suiri Mini Anime
animeType	ONA
animeNumEpisode	38
releaseDate	2019-11-15 00:00:00
endDate	2020-02-10 00:00:00
animeNumMembers	5171
animeScore	5.81
animeUsers	718
animeRank	9354
animePopularity	6916
animeDescription	Short episodes with super-deformed characters posted on the official Twitter account. Includes the extra episode commemorating the BD/DVD releases.
animeRelated	['Kyokou Suiri']
animeCharacters	['Iwanaga, Kotoko', 'Sakuragawa, Kurou']
animeVoices	['Kitou, Akari', 'Miyano, Mamoru']
animeStaff	[['Iwasa, Takahiro', 'Script'], ['Shirodaira, Kyou', 'Original Creator'], ['Yoshitomo', 'Character Design']]
