animeTitle	Toradora!
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	8.14
animeUsers	1125384
animeRank	
animePopularity	18
animeDescription	"Ryuuji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student, who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger.""

One day, an embarrassing mistake causes the two students to cross paths. Ryuuji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, Yuusaku Kitamura, who happens to be his best friend. But things only get crazier when Ryuuji reveals that he has a crush on Minori Kushieda—Taiga's best friend!

Toradora! is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process.

[Written by MAL Rewrite]"
animeRelated	['Toradora!', 'Toradora!: SOS! Kuishinbou Banbanzai', 'Toradora!: Bentou no Gokui', 'Toradora! Recap']
animeCharacters	['Aisaka, Taiga', 'Takasu, Ryuuji', 'Kushieda, Minori', 'Kawashima, Ami', 'Kitamura, Yuusaku', 'Inko', 'Takasu, Yasuko', 'Kanou, Sumire', 'Haruta, Kouji', 'Koigakubo, Yuri']
animeVoices	['Kugimiya, Rie', 'Majima, Junji', 'Horie, Yui', 'Kitamura, Eri', 'Nojima, Hirofumi', 'Gotou, Saori', 'Ohara, Sayaka', 'Kaida, Yuuko', 'Yoshino, Hiroyuki', 'Tanaka, Rie']
animeStaff	[['Kasai, Kenichi', 'Producer, Storyboard'], ['Yamanaka, Takahiro', 'Producer'], ['Nagai, Tatsuyuki', 'Director'], ['Aketagawa, Jin', 'Sound Director']]
