animeTitle	b'Change Our Mirai!'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	1342
animeRank	
animePopularity	
animeDescription	"b""Official music video for the song Change our Mirai! by the fictional band Irodorimidori spawned from Sega's Chunithm rhythm arcade game. It is the 1st song in the Irodorimidori franchise.\n\n(Source: AniDB) """
animeRelated	[b'Brilliant Better', b'Change Our Mirai!: Our 7 Lights']
animeCharacters	[b'Hakobe, Naru', b'Kobotoke, Nagi', b'Tennouzu, Nazuna', b'Akesaka, Serina', b'Ogata, Aliciana']
animeVoices	[b'\nIchimichi, Mao\nJapanese\n', b'\nSakura, Kaoru\nJapanese\n', b'\nYamamoto, Ayano\nJapanese\n', b'\nNitta, Emi\nJapanese\n', b'\nFukuhara, Ayaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nInagaki, Ryousuke\n\nProducer\n\n', b'\nGeso, Ikuo\n\nDirector\n\n', b'\nHisasi\n\nOriginal Character Design\n\n', b'\nHariba, Yuuko\n\nAnimation Director, Character Design\n\n']
