animeTitle	Slam Dunk (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	8230
animeRank	
animePopularity	4416
animeDescription	"Sakuragi and the Shohoku team takes on Oda and Takezono High School. This is Sakuragi's second match as he faces Oda, a basketball player who went to the same junior high.

(Source: ANN)"
animeRelated	['Slam Dunk']
animeCharacters	['Sakuragi, Hanamichi', 'Rukawa, Kaede', 'Akagi, Takenori', 'Mito, Youhei', 'Akagi, Haruko', 'Anzai, Mitsuyoshi', 'Kogure, Kiminobu', 'Ayako', 'Takamiya, Nozomi', 'Kakuta, Satoru']
animeVoices	['Kusao, Takeshi', 'Midorikawa, Hikaru', 'Yanada, Kiyoyuki', 'Morikawa, Toshiyuki', 'Hiramatsu, Akiko', 'Nishimura, Tomomichi', 'Tanaka, Hideyuki', 'Hara, Eriko', 'Shioya, Kouzou']
animeStaff	[['Nishizawa, Nobutaka', 'Director'], ['Ohguro, Maki', 'Theme Song Lyrics, Theme Song Composition, Theme Song Performance'], ['Inoue, Takehiko', 'Original Creator'], ['Kagami, Takahiro', 'Assistant Animation Director']]
