animeTitle	b'Precure Dream Stars! Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	984
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Precure All Stars Movie: Minna de Utau\xe2\x99\xaa - Kiseki no Mahou', b'Precure Super Stars! Movie']
animeCharacters	[b'Haruno, Haruka', b'Amanogawa, Kirara', b'Akagi, Towa', b'Kotozume, Yukari', b'Asahina, Mirai', b'Kenjou, Akira', b'Kaidou, Minami', b'Izayoi, Liko', b'Usami, Ichika', b'Arisugawa, Himari']
animeVoices	[b'\nShimamura, Yuu\nJapanese\n', b'\nYamamura, Hibiku\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nFujita, Saki\nJapanese\n', b'\nTakahashi, Rie\nJapanese\n', b'\nMori, Nanako\nJapanese\n', b'\nAsano, Masumi\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nMiyama, Karen\nJapanese\n', b'\nFukuhara, Haruka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMiyamoto, Hiroshi\n\nDirector, Storyboard, Character Design\n\n', b'\nGojou, Mayumi\n\nTheme Song Performance\n\n', b'\nKitagawa, Rie\n\nTheme Song Performance\n\n', b'\nKimura, Yoshino\n\nTheme Song Performance\n\n']
