animeTitle	Cross Fight B-Daman
animeType	TV
animeNumEpisode	52
releaseDate	2011-10-02 00:00:00
endDate	2012-09-30 00:00:00
animeNumMembers	6495
animeScore	6.45
animeUsers	3338
animeRank	6409
animePopularity	6305
animeDescription	"A rumor has spread amongst the children worldwide regarding the popular B-Daman matches: A select group will be allowed to participate in an upcoming secret competition, known as ""Cross Fight""! 

(Source: translated and adapted from official site by Cranston) "
animeRelated	['Cross Fight B-Daman', 'Bakukyuu Hit! Crash B-Daman', 'Cross Fight B-Daman eS']
animeCharacters	['Ryugasaki, Kakeru', 'Shirogane, Subaru', 'Samejima, Kaito', 'Dravise', 'Dracyan', 'Tsukiwa, Goichiro', 'Katsumiya, Shumon', 'Washimura, Yukihide', 'Homura, Naoya', 'Inaba, Natsumi']
animeVoices	['Oohara, Momoko', 'Kokuryu, Sachi', 'Takahashi, Meguru', 'Takeuchi, Ryouta', 'Itou, Kentarou', 'Suyama, Akio', 'Aizawa, Mai', 'Okamoto, Hiroshi', 'Suzuki, Chihiro', 'Takamoto, Megumi']
animeStaff	[['Odaka, Yoshinori', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Iwata, Kazuya', 'Episode Director'], ['Inotsume, Shinichi', 'Script, Series Composition']]
