animeTitle	b'Love\xe2\x99\xa5Love?'
animeType	b'TV'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	8864
animeRank	
animePopularity	
animeDescription	b'Naoto Ooizumi is the writer of the CosPrayers TV show, although this is a secret known only to the producer of the show, Mitsuki Ikuta. He has a crush on one of the actresses in the show, Natsumi Yagami. As the show proceeds so does their relationship, with many wacky twists and turns along the way. \n\n(Source: ANN)'
animeRelated	[b'Chou Henshin Cosprayers', b'Hit wo Nerae!', b'Love\xe2\x99\xa5Love? Specials']
animeCharacters	[b'Ooizumi, Naoto', b'Yagami, Natsumi', b'Imamura, Sayaka', b'Jougasaki, Hikaru', b'Katsuragi, Youko', b'Ikuta, Mitsuki', b'Hayasaka, Miku', b'Ikuta, Satsuki']
animeVoices	[b'\nMiyano, Mamoru\nJapanese\n', b'\nMatsuki, Miyu\nJapanese\n', b'\nYoshida, Mayumi\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nKobayashi, Sanae\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nAsai, Kiyomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Takeo\n\nDirector, Storyboard\n\n', b'\nKobayashi, Sanae\n\nTheme Song Performance\n\n', b'\nAsai, Kiyomi\n\nTheme Song Performance\n\n', b'\nWatanabe, Momo\n\nTheme Song Lyrics\n\n']
