animeTitle	b'Owaranai Seraph'
animeType	b'Special'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	32104
animeRank	
animePopularity	
animeDescription	b'Specials included in the Blu-ray and DVD releases.'
animeRelated	[b'Owari no Seraph']
animeCharacters	[b'Hyakuya, Yuuichirou', b'Hiiragi, Shinoa', b'Hyakuya, Mikaela', b'Ichinose, Guren', b'Hiiragi, Shinya', b'Saotome, Yoichi', b'Kimizuki, Shihou', b'Sanguu, Mitsuba', b'Hiiragi, Kureto', b'Hiiragi, Seishirou']
animeVoices	[b'\nIrino, Miyu\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nOno, Kensho\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakatake, Tetsuya\n\nProducer\n\n', b'\nKagami, Takaya\n\nOriginal Creator\n\n', b'\nYamamoto, Yamato\n\nOriginal Character Design\n\n']
