animeTitle	Issunboushi: Chibisuke Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	1935-05-08 00:00:00
endDate	
animeNumMembers	993
animeScore	5.06
animeUsers	502
animeRank	11368
animePopularity	11131
animeDescription	"Dreaming of rising up in the world, Chibisuke the little bonze travels to the city, where he becomes a retainer to a Cabinet minister, who takes a liking to Chibisuke who dances for him in his palm. One day, Chibisuke is accompanying a princess to Shimizu when a mountain devil attacks her. Chibisuke makes numerous surprise attacks on the devil before finally overcoming him, and using a horn of plenty left behind by the devil, he ends up a strapping young man.

(Source: Digital Meme)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
