animeTitle	Harmonie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	26025
animeRank	
animePopularity	2454
animeDescription	"Akio Honjou is a high school student with a special gift for music. He can perfectly recall any piece of music that he has heard only once. One day, as he tries to reproduce a particularly soothing piano melody, he unexpectedly meets Juri Makina—the girl whose cell phone had spontaneously played the tune earlier in class.

If art is the only way to truly know what landscapes populate others' inner worlds, then can this particular tune pave the way for Akio to begin to understand the more intellectual and emotional aspects of his captivating classmate, Juri?

[Written by MAL Rewrite]"
animeRelated	['Kuro no Su: Chronus', 'Ookii 1 Nensei to Chiisana 2 Nensei', 'Parol no Miraijima']
animeCharacters	['Makina, Juri', 'Honjou, Akio', 'Mayumi', 'Ryouko', 'Sonoko', 'Gotou', 'Watanabe', 'Yoshida']
animeVoices	['Ueda, Reina', 'Matsuoka, Yoshitsugu', 'Numakura, Manami', 'Taichi, You', 'Higashiuchi, Mariko', 'Furukawa, Makoto', 'Iwasaki, Ryou', 'Matsumoto, Kenta']
animeStaff	[['Inagaki, Ryousuke', 'Producer, Production Manager'], ['Yoshiura, Yasuhiro', 'Director, Storyboard, Editing, Creator, Director of Photography'], ['KOKIA', 'Theme Song Performance'], ['Ikariya, Atsushi', 'Animation Director, Character Design']]
