animeTitle	b'Slayers Evolution-R'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.4
animeUsers	13976
animeRank	
animePopularity	
animeDescription	"b""To find a way in rescuing Pokota's country Taforashia which was sealed by Rezo, Lina and her group are in search for the Hellmaster's jar in what the Red Priest placed his soul after death. Zelgadis is willing to do anything to get the jar for changing back into a human while Zuuma is plotting on revenge and accomplishing assignment in killing Lina Inverse. Still a big mystery for her and the others is what Xellos is aiming for in this battle.\n\n(Source: ANN)"""
animeRelated	[b'Slayers Evolution-R', b'Slayers Revolution']
animeCharacters	[b'Inverse, Lina', b'Graywords, Zelgadis', b'Gabriev, Gourry', b'Saillune, Amelia Wil Tesla', b'Pokota', b'Xellos', b'Nels Laada, Sylphiel', b'Rezo', b'Phibrizo', b'El Di Saillune, Philionel']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nMatsumoto, Yasunori\nJapanese\n', b'\nSuzuki, Masami\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nIkura, Kazue\nJapanese\n', b'\nInaba, Minoru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Takashi\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nTakashima, Daisuke\n\nEpisode Director\n\n', b'\nShiraishi, Michita\n\nEpisode Director\n\n']
