animeTitle	One Off
animeType	OVA
animeNumEpisode	4
releaseDate	2012-08-05 00:00:00
endDate	2012-10-07 00:00:00
animeNumMembers	
animeScore	6.43
animeUsers	5337
animeRank	
animePopularity	4552
animeDescription	"A slice of life of high school girls in the early summer. Shiozaki Haruno is a 17-year-old girl who loves her motor cycle, HONDA's Giorno. She lives in remote highlands and longs for a vivid life in a city. 

Encounters with people staying at Haruno's parents' boardinghouse encourage her to step forward to her dream."
animeRelated	['One Off']
animeCharacters	['Rogers, Cynthia B.', 'Maezono, Rie', 'Shiozaki, Haruno', 'Kaburagi, Sayo', 'Bessho, Anri', 'Shiozaki, Mother', 'Kageyama', 'Shiozaki, Father', 'Moto, Yoshi']
animeVoices	['Kobayashi, Yuu', 'Kitamura, Eri', 'Gotou, Saori', 'Hayami, Saori', 'Yahagi, Sayuri', 'Hisakawa, Aya', 'Ogata, Megumi', 'Hino, Satoshi', 'Sugou, Takayuki']
animeStaff	[['Satou, Junichi', 'Director, Storyboard, Original Creator'], ['Kimiya, Shigeru', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Haraguchi, Noboru', 'Sound Director']]
