animeTitle	b'Crazy Monkey'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.09
animeUsers	295
animeRank	
animePopularity	
animeDescription	"b""Jackie Chan's 1979 film The Fearless Hyena opened in Japan a year later under the name Crazy Monkey accompanied with an independent original animated piece by Monkey Punch set to the insert song Monkey Man featuring characters that look similar to the cast of Lupin Sansei."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
