animeTitle	b'Bomberman B-Daman Bakugaiden'
animeType	b'TV'
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	1048
animeRank	
animePopularity	
animeDescription	b'* Based on the Hudson Soft game. \n\n1000 years ago, the beautiful B-da City was attacked by the Dark B-da in their quest to control the entire Blue Solar System. The heroic B-Daman, drawing on their legendary power and ingenious technology, were able to restore peace to the universe. But, it is only a matter of time before evil forces strike again\xe2\x80\xa6Our hero, SHIRO BOM with his friends continue to patrol the Kingdom, fight against Dark B-da, always alert to danger, always ready for fun.\n\n(Source: Wikipedia)'
animeRelated	[b'Bomberman Jetters', b'Bomberman B-Daman Bakugaiden Victory', b'Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru']
animeCharacters	[b'Bomber, White', b'Kurobon', b'Akabon', b'Aobon', b'Kiirobon', b'Midoribon']
animeVoices	[b'\nSeki, Toshihiko\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nKozakura, Etsuko\nJapanese\n', b'\nMadono, Mitsuaki\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshimoto, Satoshi\n\nProducer\n\n', b'\nNakanishi, Nobuaki\n\nDirector, Episode Director, Storyboard\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nInoue, Toshiki\n\nScript\n\n']
