animeTitle	b'3-Nen D-Gumi Glass no Kamen'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	4.65
animeUsers	780
animeRank	
animePopularity	
animeDescription	b'The series re-imagines the Glass Mask manga and its characters in a school gag comedy focused on satirizing modern society.\n\n(Source: ANN)'
animeRelated	[b'Glass no Kamen', b'Glass no Kamen (2005)', b'3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road']
animeCharacters	[b'Kitajima, Maya', b'Himekawa, Ayumi', b'Tsukikage, Chigusa', b'Hayami, Masumi', b'Sakurakouji, Yuu']
animeVoices	[b'\nAsumi, Kana\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nKaji, Yuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKaji, Yuki\n\nTheme Song Performance\n\n', b'\nAsumi, Kana\n\nTheme Song Performance\n\n', b'\nOokubo, Rumi\n\nTheme Song Performance\n\n']
