animeTitle	Ushio to Tora (TV) 2nd Season
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.92
animeUsers	56523
animeRank	
animePopularity	1436
animeDescription	Continuation of Ushio to Tora TV series.
animeRelated	['Ushio to Tora', 'Ushio to Tora (TV)']
animeCharacters	['Tora', 'Aotsuki, Ushio', 'Nakamura, Asako', 'Inoue, Mayuko', 'Hakumen no Mono', 'Hyou', 'Takatori, Saya', 'Izuna', 'Akiba, Nagare', 'Giryou']
animeVoices	['Koyama, Rikiya', 'Hatanaka, Tasuku', 'Komatsu, Mikako', 'Yasuno, Kiyono', 'Hayashibara, Megumi', 'Namikawa, Daisuke', 'Nanri, Yuuka', 'Nagasawa, Nao', 'Hosoya, Yoshimasa', 'Miyano, Mamoru']
animeStaff	[['Nishimura, Satoshi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Neves, Emily', 'Script'], ['Kinniku Shoujo-tai', 'Theme Song Performance']]
