animeTitle	Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa
animeType	Special
animeNumEpisode	2
releaseDate	2003-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.69
animeUsers	4197
animeRank	
animePopularity	5485
animeDescription	Is a summary of the Saga Hades Sanctuary from the perspective of the golden knights resurrected, especially Shura, Camus and Saga.
animeRelated	['Saint Seiya: Meiou Hades Juuni Kyuu-hen']
animeCharacters	['Gemini, Saga', 'Aquarius, Camus', 'Aries, Muu', 'Capricorn, Shura', 'Phoenix, Ikki', 'Dragon, Shiryuu', 'Pegasus, Seiya', 'Virgo, Shaka', 'Andromeda, Shun', 'Cygnus, Hyouga']
animeVoices	['Suzuoki, Hirotaka', 'Mitsuya, Yuuji']
animeStaff	[['Yamauchi, Shigeyasu', 'Director'], ['Matsuzawa, Yumi', 'Theme Song Performance'], ['Kurumada, Masami', 'Original Creator'], ['Baroli, Hermes', 'ADR Director']]
