animeTitle	Sol Bianca
animeType	OVA
animeNumEpisode	2
releaseDate	1990-03-21 00:00:00
endDate	1991-07-21 00:00:00
animeNumMembers	
animeScore	6.34
animeUsers	1833
animeRank	
animePopularity	6785
animeDescription	"Five female pirates pilot the Sol Bianca, a starship with a higher level of technology than any other known. With it, they seek out riches, such as the Gnosis, an legendary item of power, and pasha, the most valuable mineral in the galaxy. Along the way, they must consider a stowaway's quest to save the one he loves, and seek revenge against those that have wronged them. 

(Source: ANN) "
animeRelated	['Sol Bianca: Taiyou no Fune']
animeCharacters	['Fall, Feb', 'Mann, Janny', 'Bikirk, April', 'Ashel, June', 'Jessica, May', 'Gevance', 'de la Paz, Melanion', 'de la Paz, Rim ']
animeVoices	['Matsuoka, Youko', 'Takayama, Minami', 'Sakuma, Rei', 'Fuchizaki, Yuriko', 'Itou, Miki', 'Naya, Rokurou', 'Genda, Tesshou', 'Namikawa, Daisuke']
animeStaff	[['Akiyama, Katsuhito', 'Director'], ['Hayashi, Hiroki', 'Director, Episode Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Kamata, Hidemi', 'Script']]
