animeTitle	b'Given: Uragawa no Sonzai'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The OVA, bundled with the special edition version of the seventh manga volume, will tell an ""other side"" story centered on Mafuyu Satou and Ritsuka Uenoyama that wasn\'t featured in the Given movie.\n\n(Source: MAL News)'"
animeRelated	[b'Given', b'Given Movie']
animeCharacters	[b'Satou, Mafuyu', b'Uenoyama, Ritsuka', b'Nakayama, Haruki', b'Kaji, Akihiko']
animeVoices	[b'\nYano, Shougo\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n', b'\nNakazawa, Masatomo\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOohashi, Akiyo\n\nDirector\n\n', b'\nAyana, Yuniko\n\nScript\n\n', b'\nKizu, Natsuki\n\nOriginal Creator\n\n']
