animeTitle	b'Yowamushi Pedal: Spare Bike'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.47
animeUsers	3357
animeRank	
animePopularity	
animeDescription	b'These are the recollections of a group of men who bet everything on their bicycles. The central pillars of their respective teams, the third years. New stories revealing their pasts are about to begin!'
animeRelated	[b'Yowamushi Pedal: Spare Bike', b'Yowamushi Pedal']
animeCharacters	[b'Makishima, Yuusuke', b'Toudou, Jinpachi', b'Arakita, Yasutomo', b'Kinjou, Shingo', b'Tadokoro, Jin', b'Kanzaki, Tooji', b'Minamizu', b'Itokawa, Shuusaku']
animeVoices	[b'\nMorikubo, Shoutarou\nJapanese\n', b'\nKakihara, Tetsuya\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nYasumoto, Hiroki\nJapanese\n', b'\nItou, Kentarou\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nIse, Mariya\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMAGIC OF LiFE\n\nTheme Song Performance\n\n']
