animeTitle	Rita to Nantoka
animeType	TV
animeNumEpisode	26
releaseDate	2010-11-01 00:00:00
endDate	2010-12-24 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13065
animeDescription	"Adaptation of a French children's picture book written by Jean-Philippe Arrou-Vignod and illustrated by Olivier Tallec.

The story follows a precocious five year old girl named Rita and a lazy but easy-going dog named Machin."
animeRelated	[]
animeCharacters	['Nantoka', 'Rita']
animeVoices	['Hirata, Hiroaki', 'Inagaki, Rinka']
animeStaff	[['Takagi, Jun', 'Director'], ['Kozutsumi, Pon', 'Director'], ['Fujino, Sadayoshi', 'Sound Director'], ['Koujina, Hiroshi', 'Episode Director, Storyboard, Key Animation, Animation Director']]
