animeTitle	Ayakashi: Japanese Classic Horror
animeType	TV
animeNumEpisode	11
releaseDate	2006-01-13 00:00:00
endDate	2006-03-24 00:00:00
animeNumMembers	
animeScore	7.43
animeUsers	21603
animeRank	
animePopularity	2199
animeDescription	"A collection of three classic Japanese horror stories: ""Yotsuya Kaidan"", the story of a wife betrayed by her husband who seeks vengeance even in death. ""Tenshu Monogatari"", the story of forbidden love between a goddess and a human, and ""Bakeneko"", the story of a mysterious cat monster with a vendetta against a certain family. 
"
animeRelated	['Mononoke']
animeCharacters	['Kusuriuri', 'Tamiya, Oiwa', 'Tomi-Hime', 'Tamiya, Iemon', 'Himekawa, Zusho-no-Suke', 'Kayo', 'Tsuruya, Nanboku', 'Kaikaimaru', 'Tamaki', 'Kikimaru']
animeVoices	['Sakurai, Takahiro', 'Koyama, Mami', 'Kuwashima, Houko', 'Hirata, Hiroaki', 'Midorikawa, Hikaru', 'Yukana', 'Saka, Osamu', 'Yamaguchi, Kappei', 'Kamada, Kozue', 'Onosaka, Masaya']
animeStaff	[['Yamamoto, Kouji', 'Producer'], ['Sano, Hiroaki', 'Producer'], ['Shibata, Hiroaki', 'Producer'], ['Umezawa, Atsutoshi', 'Producer']]
