animeTitle	Kuro Nyago
animeType	Movie
animeNumEpisode	1
releaseDate	1931-01-01 00:00:00
endDate	
animeNumMembers	3084
animeScore	5.37
animeUsers	1486
animeRank	10758
animePopularity	8313
animeDescription	A short movie from 1929 about four children who dream of having a pet cat. Their wishes are answered when they encounter a black cat who proceeds to sing them a song about how he and his tabby brother are descended from tigers. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
