animeTitle	Circuit Angel: Ketsui no Starting Grid
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.4
animeUsers	422
animeRank	
animePopularity	10847
animeDescription	"Mariko is tough yet kind girl who is really into motorcycles. She ends up in a race to settle things between the rich son of bike maker and herself.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Keiichi', 'Nabeshima, Sho', 'Okazaki, Mariko', 'Nabeshima, Mitsugu', 'Jiro', 'Okazaki, Matsutaro', 'Hiroko', 'Nagase, Raita']
animeVoices	['Nanba, Keiichi', 'Horiuchi, Kenyuu', 'Okamoto, Maya', 'Nagai, Ichiro', 'Futamata, Issei', 'Miyauchi, Kouhei', 'Moriguchi, Hiroko', 'Genda, Tesshou']
animeStaff	[['Moriguchi, Hiroko', 'Theme Song Performance'], ['Arai, Torao', 'Art Director']]
