animeTitle	Yasai no Yousei: N.Y.Salad
animeType	TV
animeNumEpisode	26
releaseDate	2007-04-05 00:00:00
endDate	2007-05-17 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13891
animeDescription	It is based on N.Y.SALAD written by Yoshitaka Amano. It depicts lives of vegetable fairies at a kitchen in N. Y.
animeRelated	['Yasai no Yousei: N.Y.Salad 2nd Series', 'Yasai no Yousei: Quiz Gekijou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
