animeTitle	b'Kokoro Toshokan: Communication Clips'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	252
animeRank	
animePopularity	
animeDescription	"b'A small collection of various clips from throughout the series, separted by 3 second segments with titles like ""Kokoro\'s Cute"" coupled with a quick clip of some mech anime.\n\n(Source: ANN)'"
animeRelated	[b'Kokoro Toshokan']
animeCharacters	[b'Kokoro', b'Aruto', b'Iina']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMasunari, Koji\n\nDirector\n\n', b'\nKuroda, Yousuke\n\nScript\n\n', b'\nTachibana, Hideki\n\nCharacter Design\n\n', b'\nTakagi, Nobuyuki\n\nOriginal Creator\n\n']
