animeTitle	b'Hooligan'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.64
animeUsers	790
animeRank	
animePopularity	
animeDescription	"b""Five girls. One guy. Seven Holy Dildos. It all started when our hero, Yukito, was trying to score with his favorite blond bombshell, Olga. Things were just heating up when one of her science experiments exploded, and it screwed up all of time and space. Now, only one thing can save the world: the Seven Holy Dildos!\n\nNow it's up to Yukito to find and collect each of Seven Holy Dildos from the beautiful maidens who posses them! To win these seven sabers, Yukito must face off against their lusty owners in a sensual skirmish, where sex is the name of the game, and the winner is the one who can keep going the longest! He'll be battling it out with the lovely shrine sisters Yuka and Yuki... the foxy ninja Victoria... the sweet and spicy Hiromi... so many women, so little time! It's a tough job, but it`s up to Yukito to get his freak on and save the universe! \n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[b'Olga, Mengele', b'Tougou, Hiromi', b'Victoria, Nelson', b'Margret, Artoua', b'Isao', b'Nogi, Yukito', b'Amou, Yuki', b'Amou, Yuka']
animeVoices	[b'\nYanase, Natsumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKushida, Akira\n\nTheme Song Performance\n\n', b'\nHappoubi, Jin\n\nOriginal Character Design\n\n', b'\nFront Wing\n\nOriginal Creator\n\n', b'\nYoshi.Hoka\n\nMusic\n\n']
