animeTitle	Dive to Blue
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	423
animeRank	
animePopularity	11719
animeDescription	"A music video for the song ""Dive to Blue"" by Umi Monogatari Marin."
animeRelated	"[""Marine Dreamin'"", ""Marine Bloomin'"", 'Deep Blue Town e Oide yo', 'Deep Blue Song', 'Sunny Days!', 'Sea Breeze', 'Deep Blue Song (September 2017)', 'Dive to Blue (October 2016)']"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
