animeTitle	Dosukoi Sushi Zumou
animeType	TV
animeNumEpisode	Unknown
releaseDate	2021-04-03 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15050
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Wasabi Gyouji', 'Gari Yobidashi', 'Takenoko Oyakata', 'Nasubi Oyakata', 'Ocha Kaisetsusha']
animeVoices	['Sasa, Kenta', 'Sawashiro, Chiharu', 'Hama, Kento', 'Tsuda, Kenjirou', 'Ooshima, Miyuki']
animeStaff	[['Sukegawa, Yuuta', 'Director']]
