animeTitle	21 Emon
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	200
animeRank	
animePopularity	11724
animeDescription	In 2018 a young boy named 21 Emon dreams of becoming a space pilot and exploring space in general. He is the heir to a long line of hotel owners, which dates back to the founder of during the Tokugawa shogunate. Since the Earth has become a planet visited by tourists from all over the space, 21 Emon has to help out his family's business or they'll go bankrupt.
animeRelated	['21 Emon', '21 Emon Uchuu e Irasshai!', '21 Emon Uchuu ike! Hadashi no Princess']
animeCharacters	['21 Emon', 'Gonsuke', 'Monga']
animeVoices	['Sasaki, Nozomu', 'Tatsuta, Naoki', 'Ootani, Ikue']
animeStaff	[['Hara, Keiichi', 'Director'], ['Sadamitsu, Shinya', 'Episode Director, Storyboard'], ['Shigino, Akira', 'Storyboard'], ['Makaino, Kouji', 'Theme Song Composition']]
