animeTitle	Yinhun x KFC
animeType	ONA
animeNumEpisode	1
releaseDate	2018-05-09 00:00:00
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	2139
animeRank	
animePopularity	6990
animeDescription	"Chinese streaming platform Weibo is hosting exclusive Gintama footage. The ad is in Japanese with Chinese subtitles showing the characters enjoying KFC's Chinese brand.

Gintama is titled and marketed as Yinhun in China."
animeRelated	['Gintama']
animeCharacters	['Sakata, Gintoki', 'Kagura', 'Shimura, Shinpachi']
animeVoices	['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
animeStaff	[['Sorachi, Hideaki', 'Original Creator']]
