animeTitle	Little Charo: Touhoku-hen
animeType	TV
animeNumEpisode	12
releaseDate	2012-04-07 00:00:00
endDate	2012-06-30 00:00:00
animeNumMembers	258
animeScore	
animeUsers	
animeRank	17068
animePopularity	15142
animeDescription	"Charo venture around Tono, Iwate, a city in Japan's Tohoku (Northeast) region, attempting to find the Eight-Starred Note in order to prevent the reappearance of the Tenaga-Ashinaga monster of local legend.

(Source: ANN)"
animeRelated	['Little Charo', 'Little Charo 2']
animeCharacters	['Charo']
animeVoices	[]
animeStaff	[]
