animeTitle	Taisei Kensetsu: Sri Lanka Kousokudouro
animeType	Special
animeNumEpisode	1
releaseDate	2013-12-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.01
animeUsers	2137
animeRank	
animePopularity	7696
animeDescription	A 30-second animated commercial for the construction company Taisei. The commercial highlights the Southern and Outer Circular Expressways that Taisei built in Sri Lanka.
animeRelated	['Taisei Kensetsu: Bosporus Kaikyou Tunnel', 'Taisei Kensetsu: Shin Doha Kokusai Kuukou', 'Taisei Kensetsu: Vietnam Noi Bai Kuukou', 'Taisei Kensetsu: Singapore']
animeCharacters	['Man']
animeVoices	['Emoto, Tasuku']
animeStaff	[['Shinkai, Makoto', 'Director, Storyboard'], ['Tenmon', 'Music'], ['Urbanowicz, Mateusz', 'Background Art'], ['Tanji, Takumi', 'Background Art']]
