animeTitle	Orange: Mirai
animeType	Movie
animeNumEpisode	1
releaseDate	2016-11-18 00:00:00
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	38249
animeRank	
animePopularity	1495
animeDescription	"Twenty-six-year-old Hiroto Suwa; his wife, Naho; and their old high school classmates—Takako Chino, Azusa Murasaka, and Saku Hagita—visit Mt. Koubou to view the cherry blossoms together. While watching the setting sun, they reminisce about Kakeru Naruse, their friend who died 10 years ago. Mourning for him, they decide to visit Kakeru's old home, where they learn the secret of his death from his grandmother.

Filled with regret, Suwa and his friends decide to write letters to their 16-year-old past selves to set their hearts at rest. With the knowledge contained in the letter from his future self, 16-year-old Suwa has the chance to rewrite the future. What choices will he make? What will happen in this new future?

[Written by MAL Rewrite]"
animeRelated	['Orange']
animeCharacters	['Suwa, Hiroto', 'Naruse, Kakeru', 'Takamiya, Naho', 'Hagita, Saku', 'Murasaka, Azusa', 'Chino, Takako', 'Haru']
animeVoices	['Furukawa, Makoto', 'Yamashita, Seiichirou', 'Hanazawa, Kana', 'Okitsu, Kazuyuki', 'Takamori, Natsumi', 'Kinugawa, Rika', 'Aizawa, Saya']
animeStaff	[['Hamasaki, Hiroshi', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Kobukuro', 'Theme Song Performance'], ['Takano, Ichigo', 'Original Creator']]
