animeTitle	b'Toufu Kozou'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Based on Kyougoku Natsuhiko's Toufu Kozou Sugoroku-douchuu Furidashi novel.\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[b'Toufu Kozou', b'Daruma', b'Mikoshi, Nyuudou', b'Sodehiki Kozou', b'Murota, Ai']
animeVoices	[b'\nFukada, Kyoko\nJapanese\n', b'\nTakeda, Tetsuya\nJapanese\n', b'\nMatsudaira, Ken\nJapanese\n', b'\nKoike, Teppei\nJapanese\n', b'\nHirano, Aya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSugii, Gisaburou\n\nDirector, Screenplay\n\n', b'\nSCANDAL\n\nTheme Song Lyrics, Theme Song Performance\n\n', b'\nAqua Timez\n\nInserted Song Performance\n\n', b'\nKay, Crystal\n\nInserted Song Performance\n\n']
