animeTitle	Hotori: Tada Saiwai wo Koinegau
animeType	Special
animeNumEpisode	1
releaseDate	2005-08-28 00:00:00
endDate	
animeNumMembers	5688
animeScore	6.89
animeUsers	1932
animeRank	4256
animePopularity	6647
animeDescription	"At the Personality Plant, robots are being built and slowly outfitted with the artificial memories of real people. Suzu is one such robot, being made to replace the young boy a family has lost. By chance, he meets Hotori, a young girl suffering from progressive memory loss. The two children become friends and attempt to define themselves in the light of their changing memories.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Ogura, Ryou', 'Shimizu, Hotori', 'Usui', 'Professor Shimizu', 'Ogura, Mayu', 'Ogura, Jun', 'Shimizu, Tatsuki']
animeVoices	['Shiraishi, Ryouko', 'Kawasumi, Ayako', 'Kuwashima, Houko', 'Inoue, Kazuhiko', 'Doi, Mika', 'Izumi, Hisashi', 'Namikawa, Daisuke']
animeStaff	[['Takahashi, Ryousuke', 'Producer'], ['Annou, Takashi', 'Director, Episode Director, Storyboard'], ['Miyoshi, Keiichirou', 'Sound Director'], ['Konparu, Tomoko', 'Script']]
