animeTitle	Galaxy Angel S
animeType	OVA
animeNumEpisode	1
releaseDate	2004-04-23 00:00:00
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	764
animeRank	
animePopularity	9257
animeDescription	Galaxy Angel 3 TV special that contains 2 stories.
animeRelated	['Galaxy Angel 3']
animeCharacters	['Sakuraba, Milfeulle', 'Blancmanche, Mint', 'H, Vanilla', 'Stollen, Forte', 'Franboise, Ranpha']
animeVoices	[]
animeStaff	[['Takayanagi, Shigehito', 'Director'], ['Satou, Shouichi', 'Script'], ['Araki, Tetsurou', 'Storyboard']]
