animeTitle	Fw:Hamatora
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	1275
animeRank	
animePopularity	5751
animeDescription	Summary movie of Hamatora The Animation and Re:␣Hamatora.
animeRelated	['Hamatora The Animation', 'Re:␣Hamatora', 'Mini Hama: Minimum Hamatora Movies']
animeCharacters	['Nice', 'Murasaki']
animeVoices	['Oosaka, Ryouta', 'Hatano, Wataru']
animeStaff	[['Higa, Yuuji', 'Producer'], ['Kishi, Seiji', 'Director'], ['Kumagai, Jun', 'Script, Series Composition'], ['Nakanishi, Yasuhiro', 'Script, Series Composition']]
