animeTitle	b'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	8.31
animeUsers	795568
animeRank	
animePopularity	
animeDescription	b'The rare and inexplicable Puberty Syndrome is thought of as a myth. It is a rare disease which only affects teenagers, and its symptoms are so supernatural that hardly anyone recognizes it as a legitimate occurrence. However, high school student Sakuta Azusagawa knows from personal experience that it is very much real, and happens to be quite prevalent in his school.\n\nMai Sakurajima is a third-year high school student who gained fame in her youth as a child actress, but recently halted her promising career for reasons unknown to the public. With an air of unapproachability, she is well known throughout the school, but none dare interact with her\xe2\x80\x94that is until Sakuta sees her wandering the library in a bunny girl costume. Despite the getup, no one seems to notice her, and after confronting her, he realizes that she is another victim of Puberty Syndrome. As Sakuta tries to help Mai through her predicament, his actions bring him into contact with more girls afflicted with the elusive disease.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Seishun Buta Yarou Series', b'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', b'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama']
animeCharacters	[b'Sakurajima, Mai', b'Azusagawa, Sakuta', b'Futaba, Rio', b'Azusagawa, Kaede', b'Koga, Tomoe', b'Makinohara, Shouko', b'Toyohama, Nodoka', b'Kunimi, Yuuma', b'Kamisato, Saki', b'Hanawa, Ryouko']
animeVoices	[b'\nSeto, Asami\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nTanezaki, Atsumi\nJapanese\n', b'\nKubo, Yurika\nJapanese\n', b'\nTouyama, Nao\nJapanese\n', b'\nMinase, Inori\nJapanese\n', b'\nUchida, Maaya\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n', b'\nAkaneya, Himika\nJapanese\n', b'\nAikawa, Natsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMasui, Souichi\n\nDirector, Storyboard\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nShinohara, Masahiro\n\nEpisode Director\n\n', b'\nIwata, Kazuya\n\nEpisode Director, Storyboard, Assistant Director\n\n']
