animeTitle	Ghost Messenger Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.92
animeUsers	154
animeRank	
animePopularity	11438
animeDescription	"In this anime fantasy, Kanglim is a 5th grade Ghost Messenger on a supernatural mission. When he finds himself trapped in a Soul Phone, Kanglim, who has the power to see mystical spirits, must successfully capture one of them to free himself from the trap.

The feature film is primarily a re-cut of the first two episodes of the OVA.

(Source: TubiTV)"
animeRelated	['Ghost Messenger']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
