animeTitle	Kumo no Mori no Marcus
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16852
animeDescription	"I am Marcus, the number one pilot in the Cloud Forest!

In the clear blue sky full of white clouds, there exists a village called ""Cloud Forest"". This is the story about Marcus the pilot and a little boy named TT who live in the Cloud Forest.

(Source: YouTube)"
animeRelated	[]
animeCharacters	['Marcus', 'Rudy', 'Rolf', 'Prim', 'Gauna', 'TT']
animeVoices	['Moriya, Satomi', 'Yoshitomi, Chika', 'Nakada, Arisa', 'Igarashi, Hiromi', 'Katou, Yuri', 'Kobashi, Satomi']
animeStaff	[['Takamatsu, Shinji', 'Director'], ['Hirasawa, Hisayoshi', 'Sound Director'], ['Matsui, Aya', 'Screenplay'], ['Nishi, Sachiko', 'Sound Effects']]
