animeTitle	b'Ling Feng Zhe'
animeType	b'ONA'
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	703
animeRank	
animePopularity	
animeDescription	b'The Leader will talk about how Marx met his wife Jenny and their thwarted love story, as well as his friendship with Friedrich Engels, his close companion and co-author of the Communist Manifesto.\n\n(Source: Global Times)'
animeRelated	[]
animeCharacters	[b'Marx, Karl', b'Engels, Friedrich', b'Marx, Jenny']
animeVoices	[]
animeStaff	[]
