animeTitle	Genei wo Kakeru Taiyou: Fumikomenai Kokoro
animeType	Special
animeNumEpisode	1
releaseDate	2013-11-16 00:00:00
endDate	
animeNumMembers	6566
animeScore	6.27
animeUsers	2907
animeRank	7348
animePopularity	6274
animeDescription	Unaired 14th episode of Genei wo Kakeru Taiyou, broadcast on Nico Nico and included in the 4th Blu-ray and DVD volumes. It shows Akari and Fuyuna's lives prior to the main series as well as how Luna got started as a magical girl.
animeRelated	['Genei wo Kakeru Taiyou']
animeCharacters	['Taiyou, Akari', 'Hoshikawa, Seira', 'Tsukuyomi, Luna', 'Shirokane, Ginka', 'Shinzaki, Fuyuna', 'Cerebrum', 'Melvis, Meltina', 'Visconti, Etia', 'Twilight, Priscilla', 'Shinzaki, Kengo']
animeVoices	['Kadowaki, Mai', 'Kitamura, Eri', 'Tokui, Sora', 'Tatsumi, Yuiko', 'Sakura, Ayane', 'Kondou, Takashi', 'Touyama, Nao', 'Endou, Aya', 'Aoki, Ruriko', 'Yamamoto, Kanehira']
animeStaff	[['LiSA', 'Theme Song Performance'], ['Okamoto, Natsumi', 'Theme Song Performance'], ['Katou, Tatsuya', 'Music'], ['Itou, Michiko', 'Series Composition']]
