animeTitle	Bakutou Sengen Daigunder
animeType	TV
animeNumEpisode	39
releaseDate	2002-04-05 00:00:00
endDate	2002-12-27 00:00:00
animeNumMembers	
animeScore	6.69
animeUsers	1319
animeRank	
animePopularity	8749
animeDescription	"Akira Akebono, a young boy who is competing in a robot tournament where many of the robots are capable of transforming into animal forms. Akira wants to win the ultimate prize, the Titan Belt, with the help of his group of robots, all of which are capable of forming into the robot Daigunder. Daigunder is the creation of Akira's father, Professor Hajime Akebono. Together with a girl named Haruka, they compete under the name of Team Akira. However, Team Akira faces opposition from not only their competition, but a robot named Ginzan who is under the control of the evil Professor Maelstrom.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Akebono, Akira', 'Sarah', 'Hoshi, Haruka', 'Daigunder', 'Rougamaru', 'DragoBurst']
animeVoices	['Takimoto, Fujiko', 'Ishimura, Tomoko', 'Ihata, Juri', 'Yanada, Kiyoyuki', 'Hiyama, Nobuyuki', 'Wakamoto, Norio']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Endoh, Masaaki', 'Theme Song Performance'], ['Kitadani, Hiroshi', 'Theme Song Performance']]
