animeTitle	Masuda Kousuke Gekijou Gag Manga Biyori
animeType	TV
animeNumEpisode	12
releaseDate	2005-02-07 00:00:00
endDate	2005-04-25 00:00:00
animeNumMembers	8379
animeScore	7.21
animeUsers	2969
animeRank	2865
animePopularity	5702
animeDescription	"Gyagu Manga Biyori is an anime that is about absolutely nothing. It is comprised of 12 short stories (5 minutes long each) that only build up a small amount of plot for each story. The anime feeds off the stupidest things, but is quite humorous.

(Source: ANN)"
animeRelated	['Masuda Kousuke Gekijou: Gag Mangabiyori', 'Masuda Kousuke Gekijou Gag Manga Biyori 2', 'Gag Manga Biyori: Jump Festa 2002 Special']
animeCharacters	['Usami-chan', 'Shoutoku, Taishi', 'Kumakichi', 'Onono, Imoko', 'Harris, Townsend', 'Kawai, Sora', 'Matsuo, Bashou']
animeVoices	['Satou, Narumi', 'Maeda, Takeshi', 'Nazuka, Kaori', 'Yabe, Masahito', 'Naitou, Ryou']
animeStaff	[['Daichi, Akitarou', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Tanaka, Masayoshi', 'Episode Director, Storyboard, Animation Director'], ['Onji, Masayuki', 'Episode Director, Animation Director']]
