animeTitle	b'Amanatsu'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	432
animeRank	
animePopularity	
animeDescription	b'In the near future, a girl yearning for death and a robot who has been near her since she was a child continue moving in eternity.\n\n(Source: Annecy)'
animeRelated	[]
animeCharacters	[b'Amanatsu', b'Makimura, Amane', b'Makimura, Souichi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMizusaki, Junpei\n\nProducer\n\n', b'\nYokoshima, Toshihisa\n\nDirector, Script\n\n', b'\nMONACA\n\nMusic\n\n']
