animeTitle	b'Shoukoku no Altair'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.55
animeUsers	17464
animeRank	
animePopularity	
animeDescription	b'Tughril Mahmut is a young pasha serving on the Divan of the T\xc3\xbcrkiye Stratocracy. The clouds of war are gathering over his country due to the threat of an aggressive Empire. With the Divan split between warmongers and the pacifists, Mahmut begins his quest to keep the peace at any cost. As he finds himself deeper and deeper in the politics of the ancient world, new enemies and allies surface. Who will prevail? What will Mahmut do if war proves to be inevitable?'
animeRelated	[b'Shoukoku no Altair']
animeCharacters	[b'Tu\xc4\x9frul, Mahmut', b'Zehir, Za\xc4\x9fanos', b'Ulema, Beyazit', b'Abiriga', b'Kara Kanat, S\xc3\xbcleyman', b'Armut, Ay\xc5\x9fe', b'Al-Kaplan, Balaban', b'\xc5\x9eara', b'Kurt Kurt', b'\xce\xb3\xce\xb9\xcf\x8c\xcf\x82 Apollodorus, Cyrus']
animeVoices	[b'\nMurase, Ayumu\nJapanese\n', b'\nFurukawa, Makoto\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nNakai, Kazuya\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nKimura, Subaru\nJapanese\n', b'\nKENN\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFuruhashi, Kazuhiro\n\nDirector\n\n', b'\nKimura, Eriko\n\nSound Director\n\n', b'\nTerasawa, Kazuaki\n\nEpisode Director\n\n', b'\nShibata, Takumi\n\nEpisode Director\n\n']
