animeTitle	Tekken: Blood Vengeance
animeType	Movie
animeNumEpisode	1
releaseDate	2011-07-26 00:00:00
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	12454
animeRank	
animePopularity	3997
animeDescription	"High school student Ling Xiaoyu is recruited by Anna Williams of G Corporation to transfer to Kyoto University and gather information on a student named Shin Kamiya. Meanwhile, Jin Kazama, the current head of the Mishima Zaibatsu, sends Alisa Bosconovitch to the university for the same mission. Though they do not know each other's true motives, Xiaoyu and Alisa become close friends. However, their friendship is put to the test when Shin is captured by an unknown assailant.

(Source: ANN)"
animeRelated	['Tekken']
animeCharacters	['Bosconovitch, Alisa', 'Ling, Xiaoyu', 'Kamiya, Shin', 'Kazama, Jin', 'Mishima, Kazuya', 'Mishima, Heihachi', 'Lee, Chaolan', 'Williams, Nina', 'Williams, Anna', 'Panda']
animeVoices	['Matsuoka, Yuki', 'Sakamoto, Maaya', 'Miyano, Mamoru', 'Chiba, Isshin', 'Shinohara, Masanori', 'Ishizuka, Unshou', 'Okiayu, Ryoutarou', 'Tanaka, Atsuko', 'Watanabe, Akeno']
animeStaff	[['Mouri, Youichi', 'Director'], ['Katayama, Kazuyoshi', 'Storyboard'], ['Satou, Dai', 'Screenplay'], ['Sakimoto, Hitoshi', 'Music']]
