animeTitle	Niji ni Mukatte
animeType	Movie
animeNumEpisode	1
releaseDate	1977-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	128
animeRank	
animePopularity	13922
animeDescription	"Film by Okamoto Tadanari, winner of the Ōfuji Noburō Award in 1977 for the 32nd Mainichi Film Awards in recognition of animation excellence.

The story of two villages on either side of a river who come together to build a bridge to connect their villages and thereby permit a young couple in love to be joined in marriage."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
